State,County,Male
Idaho,Jerome County,51.1
Idaho,Kootenai County,49.3
Idaho,Lewis County,50.1
Idaho,Madison County,48.4
Idaho,Nez Perce County,49.6
Idaho,Oneida County,51.1
Idaho,Power County,51.5
Idaho,Shoshone County,50.3
Idaho,Valley County,51.8
Illinois,Alexander County,50.8
Kentucky,Harlan County,48.7
Kentucky,Harrison County,48.9
Kentucky,Henry County,49.3
Kentucky,Hickman County,47.8
Kentucky,Jackson County,49.7
Kentucky,Johnson County,49.2
Kentucky,Knott County,49.8
Kentucky,Laurel County,49
Kentucky,Leslie County,49.5
Kentucky,Lewis County,49.9
Kentucky,Lyon County,55.1
Kentucky,McCracken County,48
Kentucky,McLean County,49.1
Kentucky,Marion County,51.7
Kentucky,Mason County,48.2
Michigan,Otsego County,49.2
Michigan,Ottawa County,49
Michigan,Presque Isle County,50.1
Michigan,St. Clair County,49.5
Michigan,St. Joseph County,49.5
Michigan,Tuscola County,50.1
Michigan,Wayne County,48
Minnesota,Aitkin County,50.6
Minnesota,Beltrami County,49.9
Minnesota,Blue Earth County,50.3
Minnesota,Carlton County,52
Massachusetts,Worcester County,49.2
Michigan,Alger County,54.4
Michigan,Allegan County,49.8
Michigan,Bay County,48.9
Michigan,Benzie County,49.6
Montana,Ravalli County,49.6
Nebraska,Saunders County,50.6
Nebraska,Scotts Bluff County,48.2
Nebraska,Sheridan County,48.5
Nebraska,Thayer County,48.8
Nebraska,Thurston County,49.7
Nebraska,Webster County,47.8
Nebraska,York County,48.8
Nevada,Elko County,51.9
Nevada,Esmeralda County,55.4
Nevada,Humboldt County,52.4
Nevada,Lincoln County,53.8
Nevada,Storey County,51
Virginia,Falls Church city,49
Kentucky,Hancock County,50.5
Kentucky,Mercer County,48.8
New Hampshire,Belknap County,49.1
New Hampshire,Grafton County,49.5
New Hampshire,Hillsborough County,49.5
New Hampshire,Rockingham County,49.4
New Jersey,Atlantic County,48.5
New Jersey,Cape May County,48.6
New Jersey,Essex County,48
Minnesota,Cass County,51.1
New Jersey,Hunterdon County,49.9
New Jersey,Morris County,49
New Jersey,Ocean County,47.9
New Jersey,Salem County,48.7
New Jersey,Union County,48.4
New Mexico,Catron County,52.3
New Mexico,Colfax County,50.9
Mississippi,Lowndes County,47.4
Mississippi,Madison County,47.9
Mississippi,Monroe County,47.5
Mississippi,Newton County,47.9
Mississippi,Pearl River County,49.4
Mississippi,Pike County,47.6
Mississippi,Prentiss County,48.9
Mississippi,Rankin County,48.4
Mississippi,Scott County,48.9
Mississippi,Simpson County,48.5
Mississippi,Smith County,48.7
Mississippi,Sunflower County,53.4
Mississippi,Tallahatchie County,54.8
Mississippi,Tippah County,48.9
Mississippi,Tishomingo County,48.3
Mississippi,Walthall County,48.6
Mississippi,Wayne County,48
Mississippi,Wilkinson County,52.9
Mississippi,Yalobusha County,47.7
Missouri,Andrew County,49.2
Nevada,Carson City,51.9
Missouri,Barton County,49.3
Missouri,Bates County,49.3
Missouri,Buchanan County,50
Missouri,Callaway County,51.4
Missouri,Carroll County,48.8
Missouri,Chariton County,49.3
Missouri,Clay County,48.8
Missouri,Cole County,50.5
Missouri,Dade County,50.1
Missouri,Daviess County,49.7
Missouri,Douglas County,49.4
Missouri,Gasconade County,49
Missouri,Gentry County,48.4
Missouri,Grundy County,47.7
Missouri,Hickory County,49.1
New Jersey,Hudson County,49.5
North Carolina,Beaufort County,48.2
North Carolina,Brunswick County,49
North Carolina,Burke County,50
North Carolina,Camden County,50.2
North Carolina,Catawba County,49
North Carolina,Chatham County,48.3
North Carolina,Cherokee County,48.6
North Carolina,Chowan County,47.5
North Carolina,Craven County,49.7
North Carolina,Davie County,48.8
Kansas,Norton County,55.9
Mississippi,Panola County,48.1
North Carolina,Edgecombe County,46.4
North Carolina,Franklin County,49.8
North Carolina,Gaston County,48.4
North Carolina,Granville County,53.4
North Carolina,Halifax County,47.8
North Carolina,Haywood County,48.3
North Carolina,Hoke County,48.7
North Carolina,Jackson County,49.8
North Carolina,Johnston County,49.2
North Carolina,Lee County,48.8
North Carolina,Lenoir County,47.7
North Carolina,McDowell County,50
North Carolina,Mecklenburg County,48.4
North Carolina,New Hanover County,48.5
Missouri,Barry County,49.6
North Carolina,Orange County,47.8
North Carolina,Pasquotank County,49.1
North Carolina,Perquimans County,47.9
North Carolina,Pitt County,47.2
North Carolina,Richmond County,49.2
North Carolina,Rowan County,49.4
North Carolina,Stanly County,49.7
North Carolina,Stokes County,48.8
North Carolina,Surry County,48.8
North Carolina,Tyrrell County,55.2
North Carolina,Wayne County,48.9
North Carolina,Wilkes County,49.4
North Carolina,Yancey County,49.1
North Carolina,Avery County,54.4
North Dakota,Bottineau County,51.7
North Dakota,Bowman County,50.1
North Dakota,Burleigh County,49.2
North Dakota,Dickey County,49.7
North Dakota,Eddy County,48.9
North Dakota,Emmons County,51.3
North Dakota,Grant County,49.7
North Dakota,Griggs County,50.6
North Dakota,Logan County,50.9
North Dakota,McKenzie County,51.6
North Dakota,Mercer County,51.6
North Dakota,Nelson County,51
North Dakota,Renville County,51.4
North Carolina,Duplin County,49.2
North Dakota,Sargent County,53.4
North Dakota,Sheridan County,50.1
North Dakota,Stark County,50
North Dakota,Stutsman County,50.9
North Dakota,Traill County,50.1
North Dakota,Walsh County,50.4
Ohio,Adams County,49.4
Ohio,Ashland County,48.9
Ohio,Belmont County,50.4
Ohio,Butler County,48.9
Ohio,Carroll County,49.9
Ohio,Clark County,48.4
Ohio,Columbiana County,50.2
Ohio,Crawford County,48.6
North Carolina,Northampton County,48.5
Ohio,Darke County,49.1
Ohio,Fairfield County,49.6
Ohio,Franklin County,48.7
Ohio,Fulton County,49.1
Ohio,Harrison County,49.6
Ohio,Highland County,49
Ohio,Huron County,49.3
Ohio,Jackson County,48.9
Ohio,Lawrence County,48.6
Ohio,Lorain County,49.2
Ohio,Mahoning County,48.4
Ohio,Medina County,49.3
Ohio,Mercer County,50
North Dakota,Benson County,50.7
Ohio,Montgomery County,48
Ohio,Morrow County,50.1
Ohio,Perry County,49.9
Ohio,Pickaway County,52.5
Ohio,Portage County,48.8
Ohio,Preble County,49.6
Ohio,Richland County,50.6
Ohio,Sandusky County,49.2
Ohio,Stark County,48.4
Ohio,Summit County,48.4
Ohio,Union County,47.2
Ohio,Vinton County,49.8
Ohio,Williams County,49.6
Ohio,Wyandot County,49.5
Oklahoma,Atoka County,52.1
Oklahoma,Blaine County,58
Oklahoma,Bryan County,48.9
Oklahoma,Canadian County,49.6
Oklahoma,Cherokee County,49.4
Oklahoma,Cimarron County,49.8
Oklahoma,Cotton County,49.2
Oklahoma,Dewey County,49.9
Oklahoma,Grady County,49.6
New Mexico,Harding County,52.8
New Mexico,Hidalgo County,50.2
New Mexico,Los Alamos County,50.3
New Mexico,Luna County,49.7
New Mexico,Otero County,50.5
New Mexico,Rio Arriba County,49.4
New Mexico,Roosevelt County,50.3
New Mexico,San Juan County,49.6
New Mexico,Santa Fe County,48.7
New Mexico,Sierra County,50.3
New Mexico,Torrance County,51.6
New York,Albany County,48.3
New York,Broome County,49
New York,Cayuga County,51
New York,Chemung County,49.7
New York,Clinton County,51.3
New York,Cortland County,48.8
New York,Dutchess County,49.8
Ohio,Monroe County,49.8
New York,Franklin County,54.9
New York,Fulton County,49.5
New York,Greene County,52.2
New York,Hamilton County,50.6
New York,Kings County,47.2
New York,Livingston County,50.2
New York,Monroe County,48.2
New York,Nassau County,48.4
New York,Niagara County,48.5
New York,Orange County,50
New York,Orleans County,49.5
New Mexico,Quay County,49.3
New York,Putnam County,49.9
New York,Rockland County,49
New York,St. Lawrence County,50.8
New York,Schuyler County,49.7
New York,Suffolk County,49.2
New York,Tioga County,49.6
New York,Ulster County,49.8
New York,Wayne County,49.6
North Dakota,Richland County,51.7
Pennsylvania,Bucks County,49
Pennsylvania,Cameron County,49.1
Pennsylvania,Clinton County,49
Pennsylvania,Cumberland County,49.1
Pennsylvania,Delaware County,47.9
Pennsylvania,Erie County,49.2
Pennsylvania,Fayette County,49.1
Pennsylvania,Greene County,51.5
Pennsylvania,Huntingdon County,52.9
Pennsylvania,Juniata County,49.9
New York,Oswego County,49.8
Pennsylvania,Lawrence County,48.2
Pennsylvania,Luzerne County,48.9
Pennsylvania,Monroe County,49.4
Pennsylvania,Montgomery County,48.5
Pennsylvania,Philadelphia County,47.2
Pennsylvania,Pike County,50
Pennsylvania,Snyder County,49.4
Pennsylvania,Somerset County,51.5
Pennsylvania,Susquehanna County,50.3
Pennsylvania,Venango County,48.9
New York,Westchester County,48.1
Pennsylvania,Wayne County,52.4
Pennsylvania,York County,49.3
Rhode Island,Kent County,48.1
Rhode Island,Newport County,48.8
South Carolina,Abbeville County,48.5
South Carolina,Aiken County,48.4
South Carolina,Barnwell County,47.8
Pennsylvania,Lancaster County,48.9
South Carolina,Chester County,48.3
South Carolina,Chesterfield County,48.6
South Carolina,Colleton County,48.2
South Carolina,Darlington County,47.4
South Carolina,Edgefield County,54
South Carolina,Jasper County,52.1
South Carolina,Kershaw County,48.7
South Carolina,Lancaster County,49.3
South Carolina,Lexington County,48.8
South Carolina,Marlboro County,52.7
South Carolina,Orangeburg County,47
Pennsylvania,Washington County,48.6
South Carolina,Saluda County,50.3
South Carolina,Sumter County,48.1
South Carolina,Williamsburg County,48.6
South Dakota,Bennett County,49.1
South Dakota,Brookings County,51.2
South Dakota,Butte County,50.3
South Dakota,Clark County,50.2
South Dakota,Clay County,48.6
South Dakota,Custer County,50.5
South Dakota,Day County,50.2
South Dakota,Douglas County,50.1
South Dakota,Fall River County,50.8
South Dakota,Haakon County,50.6
South Dakota,Hanson County,50.1
South Carolina,Calhoun County,48.7
South Dakota,Hutchinson County,48.7
South Dakota,Hyde County,52
South Dakota,Jerauld County,48.6
South Dakota,Jones County,49.5
South Dakota,Lyman County,52.4
South Dakota,Meade County,51
South Dakota,Mellette County,51.2
South Dakota,Moody County,50.1
South Dakota,Sanborn County,51.8
South Dakota,Shannon County,49.3
South Dakota,Stanley County,50
South Dakota,Todd County,49.1
South Dakota,Union County,50.1
South Dakota,Ziebach County,48.5
South Carolina,Richland County,48.7
Tennessee,Carter County,48.9
Tennessee,Cheatham County,50
Tennessee,Claiborne County,49
Tennessee,Coffee County,48.6
Tennessee,Davidson County,48.4
Tennessee,DeKalb County,49.5
Tennessee,Fentress County,49.3
Tennessee,Gibson County,47.6
Tennessee,Greene County,49.1
Tennessee,Grundy County,49.5
Tennessee,Hardeman County,54.4
Tennessee,Haywood County,47.1
Tennessee,Henderson County,48.1
Tennessee,Houston County,49.2
Tennessee,Jackson County,49.9
South Dakota,Harding County,52.5
Tennessee,Lewis County,49
Tennessee,Lincoln County,48.8
Tennessee,McNairy County,49.1
Tennessee,Macon County,49.3
Tennessee,Maury County,48.4
Tennessee,Montgomery County,49
Tennessee,Obion County,48.2
Tennessee,Pickett County,50.2
Tennessee,Rhea County,48.9
Tennessee,Rutherford County,49.4
Tennessee,Sevier County,49.3
Tennessee,Stewart County,49.9
Tennessee,Carroll County,48.3
Tennessee,Unicoi County,48.9
Tennessee,Van Buren County,49.9
Tennessee,Warren County,49.3
Oklahoma,Jefferson County,49.8
Oklahoma,Latimer County,50.6
Oklahoma,Logan County,49.5
Oklahoma,Love County,49.1
Oklahoma,McIntosh County,49.4
Oklahoma,Marshall County,50.1
Oklahoma,Muskogee County,48.9
Oklahoma,Okfuskee County,53.5
Oklahoma,Pawnee County,49.8
Tennessee,Lake County,63.7
Oklahoma,Pittsburg County,50.8
Oklahoma,Pottawatomie County,47.9
Oklahoma,Roger Mills County,49.7
Oklahoma,Sequoyah County,49.6
Oklahoma,Tulsa County,48.8
Oklahoma,Wagoner County,49.2
Oklahoma,Washita County,48.8
Oregon,Benton County,50.1
Oregon,Clackamas County,49.2
Oregon,Coos County,49.3
Oregon,Crook County,49.6
Tennessee,Tipton County,49
Texas,Refugio County,49.7
Texas,Robertson County,49.5
Texas,Rusk County,52.6
Texas,San Jacinto County,50
Texas,Scurry County,53.4
Texas,Shackelford County,48.3
Texas,Shelby County,49.5
Texas,Smith County,48.4
Texas,Sterling County,50.4
Texas,Sutton County,49.2
Texas,Swisher County,52.7
Texas,Throckmorton County,49.2
Texas,Tom Green County,49
Texas,Travis County,50.4
Texas,Upton County,49.9
Texas,Van Zandt County,49.2
Oklahoma,Payne County,50.7
Oregon,Gilliam County,51.6
Oregon,Harney County,50.9
Oregon,Hood River County,50
Oregon,Josephine County,48.7
Oregon,Lincoln County,48.7
Oregon,Malheur County,54.1
Oregon,Sherman County,50.8
Oregon,Umatilla County,52.1
Oregon,Douglas County,49.4
Texas,Jeff Davis County,50.7
Texas,Jim Wells County,49.2
Texas,Jones County,61.3
Texas,Kaufman County,49.2
Texas,Kimble County,49.5
Texas,Kinney County,54.3
Texas,Kleberg County,51
Texas,Lampasas County,49.3
Texas,Lavaca County,48.9
Texas,Lee County,50.6
Texas,Limestone County,51.8
Texas,Victoria County,48.8
Texas,Waller County,49.5
Texas,Washington County,49.2
Texas,Wheeler County,49.2
Texas,Wichita County,51.3
Texas,Willacy County,54.4
Texas,Wood County,49.1
Texas,Zapata County,50.2
Utah,Carbon County,49.6
Utah,Daggett County,56.4
Utah,Duchesne County,50.8
Utah,Grand County,50.4
Utah,Juab County,51
Texas,Anderson County,60.8
Oregon,Wasco County,49.6
Oregon,Washington County,49.2
Pennsylvania,Adams County,49.2
Pennsylvania,Beaver County,48.2
Texas,Hale County,51.7
Texas,Hamilton County,49.3
Texas,Hardin County,49.3
Texas,Harrison County,49.1
Texas,Hemphill County,50.6
Texas,Henderson County,49
Texas,Hidalgo County,48.7
Texas,Hopkins County,49.5
Texas,Irion County,50.5
Texas,Jack County,55.6
Texas,Jackson County,49.4
Texas,Loving County,56.1
Texas,Lynn County,49.8
Texas,McCulloch County,49
Texas,McMullen County,51.9
Texas,Marion County,49
Texas,Maverick County,48.8
Texas,Menard County,50.5
Texas,Milam County,49.4
Texas,Mills County,49.5
Texas,Moore County,51.7
Texas,Motley County,50.7
Texas,Nacogdoches County,47.7
Texas,Orange County,49.7
Texas,Panola County,49.6
Texas,Potter County,51.1
Texas,Presidio County,48.8
Texas,Real County,49.5
Indiana,DeKalb County,49.6
Indiana,Elkhart County,49.3
Indiana,Fayette County,49
Indiana,Greene County,49.9
Indiana,Henry County,50.7
Indiana,Huntington County,49.1
Indiana,Jay County,49.3
Indiana,Johnson County,49.2
Indiana,LaGrange County,50.4
Indiana,Lawrence County,49.4
Indiana,Marion County,48.2
Indiana,Marshall County,49.5
Indiana,Montgomery County,50.4
Indiana,Newton County,50.5
Indiana,Owen County,50.1
Indiana,Pike County,50
Indiana,Porter County,49.1
Kentucky,Monroe County,49.5
Kentucky,Morgan County,56.7
Kentucky,Muhlenberg County,50.5
Kentucky,Pendleton County,50.1
Kentucky,Perry County,49.5
Kentucky,Robertson County,50.3
Kentucky,Rowan County,48.6
Kentucky,Shelby County,48.1
Kentucky,Taylor County,48.3
Kentucky,Todd County,49.4
Kentucky,Washington County,49
Kentucky,Wayne County,49.5
Kentucky,Whitley County,48.6
Kentucky,Woodford County,48
Louisiana,Ascension Parish,49.4
Louisiana,Beauregard Parish,51
Louisiana,Calcasieu Parish,48.8
Minnesota,Chisago County,51.5
Minnesota,Clearwater County,50.3
Minnesota,Crow Wing County,49.8
Minnesota,Dakota County,49.1
Minnesota,Faribault County,49.7
Minnesota,Fillmore County,49.7
Minnesota,Hennepin County,49.1
Minnesota,Isanti County,50.4
Minnesota,Itasca County,50.5
Minnesota,Lake of the Woods County,51.1
Minnesota,Lincoln County,50.2
Minnesota,McLeod County,49.9
Minnesota,Martin County,49.1
Michigan,Cass County,49.9
Michigan,Charlevoix County,49.2
Michigan,Chippewa County,55.1
Michigan,Delta County,49.5
Michigan,Dickinson County,49.2
Michigan,Emmet County,49.3
Indiana,Posey County,49.8
Indiana,Randolph County,49.3
Indiana,Shelby County,49.6
Indiana,Steuben County,50.5
Indiana,Switzerland County,51
Indiana,Union County,49.4
Indiana,Vermillion County,49.5
Indiana,Warren County,50.2
Indiana,White County,49.2
Iowa,Adair County,49.6
Iowa,Adams County,49.5
Iowa,Audubon County,48.3
Iowa,Black Hawk County,48.6
Iowa,Boone County,50.2
Iowa,Butler County,49.4
Iowa,Cedar County,49.5
Louisiana,Cameron Parish,49.6
Louisiana,Catahoula Parish,52.9
Louisiana,De Soto Parish,48.3
Louisiana,East Carroll Parish,53.5
Louisiana,Franklin Parish,48.5
Louisiana,Grant Parish,56
Louisiana,Jackson Parish,50.8
Louisiana,Jefferson Parish,48.6
Louisiana,Jefferson Davis Parish,49
Louisiana,Lincoln Parish,48.8
Louisiana,Madison Parish,49.5
Louisiana,Morehouse Parish,47.9
Minnesota,Mille Lacs County,50.2
Minnesota,Nicollet County,50
Minnesota,Olmsted County,48.9
Minnesota,Pennington County,49.3
Minnesota,Pipestone County,48.7
Minnesota,Red Lake County,50.9
Minnesota,Redwood County,49.6
Minnesota,Rice County,51.1
Minnesota,Scott County,49.8
Minnesota,Sibley County,50.2
Minnesota,Stearns County,50.4
Minnesota,Stevens County,49.3
Minnesota,Todd County,51.2
Minnesota,Traverse County,49.7
Minnesota,Wilkin County,50.7
Minnesota,Winona County,49.2
Michigan,Gogebic County,53.3
Missouri,Jefferson County,49.8
Missouri,Laclede County,49.3
Missouri,Lafayette County,49.4
Missouri,Lewis County,50.1
Missouri,Lincoln County,49.9
Missouri,Livingston County,44.8
Missouri,McDonald County,50.5
Missouri,Maries County,50.5
Missouri,Mercer County,50.3
Missouri,Monroe County,50
Missouri,Montgomery County,50
Missouri,Newton County,49.6
Iowa,Cerro Gordo County,48.8
Iowa,Chickasaw County,50.3
Georgia,Gwinnett County,49.3
Georgia,Habersham County,47.2
Georgia,Harris County,49.9
Georgia,Henry County,48
Georgia,Jasper County,49.8
Georgia,Jenkins County,47.5
Georgia,Lamar County,48.3
Georgia,Lanier County,50.4
Georgia,Lincoln County,48.7
Georgia,McDuffie County,46.9
Georgia,McIntosh County,48.8
Georgia,Madison County,49.4
Georgia,Mitchell County,51.9
Georgia,Morgan County,48.3
Louisiana,Ouachita Parish,47.8
Louisiana,Plaquemines Parish,50.2
Louisiana,Rapides Parish,48.2
Louisiana,Richland Parish,48.2
Louisiana,Sabine Parish,49.6
Louisiana,St. Helena Parish,49.3
Louisiana,St. John the Baptist Parish,48.6
Louisiana,St. Landry Parish,47.8
Montana,Sanders County,51.3
Kansas,Ottawa County,51.6
Minnesota,Yellow Medicine County,51
Mississippi,Amite County,48.5
Mississippi,Attala County,47.6
Mississippi,Bolivar County,46.5
Mississippi,Calhoun County,47.8
Mississippi,Claiborne County,47.1
Mississippi,Coahoma County,45.9
Mississippi,Franklin County,48.6
Mississippi,George County,50.6
Mississippi,Grenada County,47.2
Mississippi,Holmes County,46.8
Mississippi,Humphreys County,46.8
Mississippi,Jackson County,49.3
Missouri,Osage County,52
Missouri,Ozark County,50.5
Missouri,Pemiscot County,47.5
Missouri,Phelps County,52.3
Missouri,Polk County,49.3
Missouri,Ralls County,50.6
Missouri,Ray County,49.8
Missouri,Ripley County,49.5
Missouri,St. Francois County,53.2
Missouri,Schuyler County,48.6
Missouri,Scotland County,48.6
Missouri,Stoddard County,48.6
Missouri,Taney County,48.7
Missouri,Warren County,49.8
Missouri,Wayne County,50.1
Georgia,Oglethorpe County,49.6
Georgia,Paulding County,48.9
Georgia,Pierce County,49.1
Georgia,Pike County,48.9
Georgia,Quitman County,47.8
Georgia,Richmond County,48.4
Georgia,Screven County,48.8
Georgia,Stephens County,47.9
Georgia,Talbot County,47.3
Georgia,Taylor County,48.3
Georgia,Thomas County,47.4
Georgia,Turner County,48.8
Georgia,Twiggs County,48.7
Georgia,Union County,48.7
Georgia,Ware County,49.8
Georgia,Wayne County,52.2
Louisiana,St. Martin Parish,49.3
Louisiana,Tangipahoa Parish,48.6
Louisiana,Tensas Parish,47.5
Louisiana,Vermilion Parish,48.6
Louisiana,Vernon Parish,51.2
Iowa,Davis County,49.6
Iowa,Decatur County,50.1
Iowa,Dubuque County,49.3
Iowa,Fayette County,50
Iowa,Franklin County,50.4
Iowa,Grundy County,49.4
Iowa,Guthrie County,49.7
Iowa,Howard County,49.6
Mississippi,Jefferson County,49.6
Mississippi,Jones County,48.7
Mississippi,Lafayette County,49.4
Louisiana,West Feliciana Parish,65.6
Maine,Franklin County,48.9
Maine,Knox County,49.5
Maine,Oxford County,49.6
Missouri,St. Louis city,48.3
Montana,Big Horn County,49.7
Montana,Blaine County,50
Montana,Carbon County,50.7
Montana,Chouteau County,49.2
Montana,Custer County,49.7
Montana,Deer Lodge County,52.9
Montana,Fergus County,50.2
Montana,Garfield County,51.2
Montana,Granite County,50.9
Montana,Jefferson County,51
Georgia,Muscogee County,47.9
Kansas,Crawford County,49.6
Kansas,Edwards County,49.8
Kansas,Ellis County,49.7
Kansas,Ellsworth County,56.2
Kansas,Geary County,49.5
Kansas,Grant County,51.1
Kansas,Greenwood County,49.3
Kansas,Harper County,49.5
Kansas,Harvey County,48.8
Kansas,Jefferson County,50.7
Kansas,Johnson County,48.8
Kansas,Labette County,49.5
Kansas,Logan County,49.5
Kansas,McPherson County,49.1
Kansas,Marshall County,49.5
Iowa,Ida County,49.9
Iowa,Jackson County,49.6
Iowa,Jefferson County,53.4
Iowa,Johnson County,50
Iowa,Keokuk County,49.7
Iowa,Lucas County,49.8
Iowa,Lyon County,49.9
Iowa,Mahaska County,50.3
Iowa,Mills County,50.3
Iowa,Monroe County,49.9
Iowa,Osceola County,50.2
Iowa,Plymouth County,49.5
Iowa,Polk County,49
Iowa,Ringgold County,48.6
Iowa,Sioux County,49.9
Iowa,Tama County,49.1
Iowa,Washington County,49
Iowa,Wayne County,48.7
Maine,Penobscot County,49.3
Maine,Sagadahoc County,48.4
Maine,Waldo County,49
Maryland,Anne Arundel County,49.4
Maryland,Caroline County,48.8
Maryland,Cecil County,49.7
Maryland,Dorchester County,47.7
Maryland,Frederick County,49.2
Maryland,Garrett County,49.7
Montana,Liberty County,48.1
Montana,Lincoln County,50.8
Montana,McCone County,51.3
Montana,Park County,49.8
Montana,Phillips County,49.3
Montana,Powell County,61.1
Montana,Roosevelt County,49.3
Montana,Rosebud County,50.6
Montana,Sheridan County,50.2
Kansas,Montgomery County,49.1
Kansas,Morton County,48.6
Kansas,Nemaha County,50.6
Kansas,Osborne County,49.7
Kansas,Pottawatomie County,49.6
Kansas,Rawlins County,49.8
Kansas,Riley County,52.1
Kansas,Rush County,49.3
Kansas,Scott County,50.4
Kansas,Shawnee County,48.3
Kansas,Sherman County,50
Kansas,Stanton County,51.1
Kansas,Thomas County,49.2
Kansas,Wabaunsee County,50.9
Kansas,Woodson County,50
Kentucky,Barren County,48.5
Iowa,Winnebago County,49.5
Iowa,Winneshiek County,49.6
Kansas,Allen County,48.8
Kansas,Anderson County,49.5
Kansas,Barber County,50.4
Kansas,Barton County,49.1
Kansas,Chase County,51
Kansas,Chautauqua County,50.7
Michigan,Iron County,49.3
Michigan,Jackson County,51
Michigan,Kalkaska County,50.8
Michigan,Keweenaw County,51.3
Michigan,Lake County,51.1
Michigan,Lenawee County,50.5
Michigan,Luce County,57.7
Maryland,Harford County,48.9
Maryland,Washington County,50.8
Maryland,Worcester County,48.7
Maryland,Baltimore city,47.1
Montana,Stillwater County,51.3
Montana,Teton County,49.3
Montana,Toole County,55.7
Montana,Wibaux County,50.4
Nebraska,Antelope County,49.8
Nebraska,Boone County,49.9
Nebraska,Box Butte County,49
Nebraska,Buffalo County,49.5
Nebraska,Burt County,49
Nebraska,Chase County,49.5
Nebraska,Cheyenne County,49.7
Nebraska,Dixon County,49.4
Nebraska,Douglas County,49.2
Kentucky,Bath County,49.6
Kentucky,Boone County,49.5
Kentucky,Bourbon County,48.7
Kentucky,Boyle County,48.7
Kentucky,Breckinridge County,49.9
Kentucky,Caldwell County,48.2
Kentucky,Carlisle County,48.8
Kentucky,Casey County,48.8
Kentucky,Christian County,50.7
Kentucky,Clinton County,50
Kentucky,Elliott County,56
Kentucky,Fayette County,49.2
Kentucky,Fleming County,49.1
Kentucky,Garrard County,49.3
Kentucky,Graves County,49
Kentucky,Grayson County,50.7
Michigan,Macomb County,48.6
Michigan,Manistee County,51.8
Michigan,Mason County,49.4
Michigan,Monroe County,49.3
Michigan,Montmorency County,50.4
Michigan,Oakland County,48.5
Texas,Fort Bend County,49.1
Massachusetts,Dukes County,49.5
Massachusetts,Essex County,48
Massachusetts,Hampshire County,46.8
Massachusetts,Nantucket County,51.2
Puerto Rico,Vieques Municipio,49.6
Texas,Ector County,49.4
Nebraska,Dundy County,50.1
Nebraska,Franklin County,50
Nebraska,Gage County,49.1
Nebraska,Garfield County,49
Nebraska,Hamilton County,50
Nebraska,Hitchcock County,49.7
Nebraska,Howard County,50.9
Nebraska,Keith County,50.1
Nebraska,Kimball County,49.8
Nebraska,Lancaster County,50.1
Nebraska,Loup County,51.3
Nebraska,Otoe County,49
Nebraska,Perkins County,50.5
Nebraska,Platte County,50.1
Nebraska,Richardson County,49.4
Nebraska,Sarpy County,49.7
Washington,Yakima County,50
West Virginia,Berkeley County,49.6
West Virginia,Braxton County,50.4
West Virginia,Brooke County,48.5
West Virginia,Grant County,49.7
West Virginia,Hampshire County,50.6
West Virginia,Harrison County,48.7
West Virginia,Kanawha County,48
West Virginia,Lincoln County,49.7
West Virginia,Marshall County,48.8
West Virginia,Mason County,48.1
West Virginia,Mineral County,49.6
West Virginia,Monroe County,49.5
Virginia,King George County,50.3
Virginia,Lancaster County,47
Virginia,Mathews County,48.6
Virginia,Mecklenburg County,49.6
Puerto Rico,Camuy Municipio,48.5
Puerto Rico,Cataí±o Municipi,47.4
Puerto Rico,Cayey Municipio,48.4
Puerto Rico,Cidra Municipio,48.9
Puerto Rico,Coamo Municipio,48.7
Puerto Rico,Fajardo Municipio,47.1
Puerto Rico,Guayama Municipio,50
Idaho,Lincoln County,51.7
Idaho,Payette County,49.5
Illinois,Adams County,48.7
Illinois,Cass County,50.1
Illinois,Clay County,49.1
Illinois,De Witt County,49.5
Illinois,Edgar County,48.5
Illinois,Greene County,50.5
Illinois,Hardin County,49.7
Illinois,Henry County,49.7
Illinois,Jasper County,49.8
Illinois,Kane County,49.8
Illinois,Lee County,52.5
Illinois,McLean County,48.6
Illinois,Marshall County,49.3
Illinois,Montgomery County,52.3
Minnesota,Kanabec County,50.6
Minnesota,Kittson County,50.2
Minnesota,Koochiching County,49.6
Minnesota,Mahnomen County,50.8
Minnesota,Morrison County,50.4
Minnesota,Norman County,49.9
Minnesota,Ramsey County,48.5
Minnesota,Roseau County,51.1
Minnesota,Swift County,50.3
Minnesota,Waseca County,46.9
Minnesota,Wright County,50.2
Mississippi,Carroll County,50
Mississippi,Clay County,46.9
Mississippi,Forrest County,47.8
Mississippi,Hinds County,47
Mississippi,Jasper County,48.2
West Virginia,Morgan County,49.9
Louisiana,Washington Parish,49.5
Louisiana,West Carroll Parish,50.1
Maine,Kennebec County,48.7
Maryland,Allegany County,51.7
Maryland,Queen Anne's County,49.7
Maryland,Talbot County,47.7
Massachusetts,Berkshire County,48.1
Massachusetts,Suffolk County,48.2
Michigan,Calhoun County,48.9
Puerto Rico,Guayanilla Municipio,48.6
Michigan,Genesee County,48.2
Missouri,Jackson County,48.3
Missouri,Johnson County,50.5
Missouri,Lawrence County,49.3
Missouri,Macon County,48.9
Missouri,Miller County,49.8
Missouri,Oregon County,49.6
Missouri,Pike County,54.8
Missouri,Randolph County,52.3
Missouri,Ste. Genevieve County,50.5
Missouri,Scott County,48.2
Missouri,Texas County,52
Missouri,Wright County,48.8
Montana,Broadwater County,51.2
Illinois,Pope County,52.7
Montana,Gallatin County,51.9
