State,County,Male
Kentucky,Rockcastle County,49.1
Kentucky,Trigg County,49.1
Kentucky,Webster County,49.7
Louisiana,Allen Parish,56.2
Louisiana,Bienville Parish,48.2
Louisiana,Claiborne Parish,55.9
Louisiana,Iberville Parish,51
Louisiana,Lafayette Parish,48.8
Louisiana,Livingston Parish,49.5
Louisiana,Pointe Coupee Parish,48.5
Louisiana,St. Charles Parish,49.4
Louisiana,St. James Parish,48.9
Louisiana,Union Parish,49.4
Iowa,Clinton County,49.2
Iowa,Crawford County,50.8
Iowa,Delaware County,50
Iowa,Emmet County,49.9
Iowa,Floyd County,49
Iowa,Hamilton County,49.7
Iowa,Henry County,51.2
Iowa,Iowa County,49.3
Iowa,Jones County,51.9
Iowa,Linn County,49.2
Iowa,Madison County,49.7
Iowa,Marion County,49.7
Iowa,Montgomery County,48.5
Iowa,O'Brien County,49.8
Iowa,Pocahontas County,49.7
Iowa,Sac County,48.9
Iowa,Story County,51.8
Iowa,Union County,48.7
Iowa,Warren County,48.7
Iowa,Worth County,49.8
Kansas,Atchison County,48.7
Kansas,Butler County,50.4
Michigan,Hillsdale County,49.6
Michigan,Ionia County,53.7
Michigan,Isabella County,48.7
Michigan,Kalamazoo County,49
Michigan,Kent County,49
Michigan,Livingston County,50
Michigan,Mackinac County,50.5
Michigan,Marquette County,50.5
Michigan,Midland County,49.1
Michigan,Missaukee County,50.9
Michigan,Newaygo County,50.3
Michigan,Osceola County,49.8
Michigan,Roscommon County,49.9
Michigan,Shiawassee County,49.4
Michigan,Washtenaw County,49.3
Michigan,Wexford County,49.8
Minnesota,Benton County,50.1
Minnesota,Cottonwood County,49.3
Minnesota,Dodge County,50
Minnesota,Douglas County,50.1
Minnesota,Grant County,49.4
Minnesota,Hubbard County,50.4
Minnesota,Kandiyohi County,49.9
Minnesota,Lac qui Parle County,50
Minnesota,Le Sueur County,50.5
Minnesota,Lyon County,49.7
Minnesota,Meeker County,50.8
Minnesota,Murray County,49.6
Minnesota,Otter Tail County,50.1
Minnesota,Pope County,50.5
Minnesota,Renville County,50.5
Minnesota,Sherburne County,51.2
Minnesota,Steele County,49.5
Minnesota,Wadena County,49.3
Minnesota,Watonwan County,50.1
Mississippi,Alcorn County,48.9
Mississippi,Benton County,49.1
Mississippi,Choctaw County,47.9
Mississippi,Covington County,48.6
Mississippi,Greene County,59.1
Mississippi,Itawamba County,48.9
Mississippi,Jefferson Davis County,47.8
Mississippi,Kemper County,48.9
Louisiana,Webster Parish,48.6
Louisiana,West Baton Rouge Parish,49.2
Maine,Hancock County,49
Maine,Piscataquis County,49.6
Maine,Washington County,49.3
Maryland,Calvert County,49.3
Maryland,Carroll County,49.4
Maryland,Charles County,48.3
