State,County,White,Black,Hispanic,Asian,Native.American.Alaska.Native
Illinois,Bond County,90.9,6.1,3.1,0.4,0.5
Illinois,Brown County,76.1,18.5,5.8,0.2,0.2
Illinois,Champaign County,73.4,12.4,5.3,8.9,0.3
Illinois,Coles County,92.9,3.8,2.1,1,0.2
Illinois,Cumberland County,98.3,0.3,0.7,0.2,0.2
Illinois,Effingham County,97.6,0.2,1.7,0.4,0.1
Illinois,Franklin County,97.7,0.3,1.2,0.3,0.3
Illinois,Hamilton County,98.2,0.4,1.2,0.2,0.2
Illinois,Henderson County,98.2,0.2,1.1,0.2,0.2
Illinois,Iroquois County,94.7,0.8,5.3,0.3,0.2
Illinois,Johnson County,89,8,3,0.2,0.2
Illinois,Knox County,87.5,7.2,4.8,0.6,0.2
Illinois,Livingston County,91.8,4.9,3.9,0.5,0.2
Illinois,Marion County,93.1,3.9,1.4,0.6,0.3
Illinois,Menard County,97.5,0.6,1,0.2,0.3
Illinois,Moultrie County,98.5,0.3,0.9,0.2,0.2
Illinois,Perry County,87.9,8.3,2.7,0.4,0.2
Illinois,Putnam County,96.6,0.5,4.2,0.2,0.1
Illinois,Schuyler County,95.5,3.2,1.2,0.1,0.2
Illinois,Stark County,97.7,0.5,1,0.3,0.2
Illinois,Tazewell County,96.2,1,1.9,0.7,0.3
Illinois,Wayne County,98,0.3,1.1,0.4,0.2
Illinois,Woodford County,97.4,0.5,1.4,0.6,0.2
Indiana,Benton County,95.9,0.5,4.9,0.2,0.1
Indiana,Cass County,88.2,1.5,12.6,1.1,0.5
Indiana,Daviess County,95,0.5,4.2,0.5,0.2
Indiana,Dubois County,95.1,0.3,6,0.5,0.2
Indiana,Franklin County,98.3,0.2,0.9,0.2,0.1
Indiana,Hamilton County,88.5,3.5,3.4,4.8,0.2
Indiana,Howard County,88.6,6.9,2.7,0.9,0.3
Indiana,Jennings County,96.8,0.8,2,0.2,0.1
Indiana,Kosciusko County,93.3,0.7,7.3,0.8,0.3
Indiana,Madison County,87.7,8.3,3.2,0.4,0.2
Indiana,Martin County,98.4,0.1,0.7,0.3,0.3
Indiana,Noble County,92.5,0.4,9.6,0.4,0.2
Indiana,Ohio County,98.1,0.4,1.1,0.3,0.2
